election_id,election_date,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_id,party_name,party_short_name,mainstream,votes,acclaimed,place
12,1911-09-21,AB,1,CALGARY,4590,"BENNETT, Richard Bedford",Conservative,37,Conservative,Con,t,7671,f,1
12,1911-09-21,AB,1,CALGARY,4591,"VAN WART, Isaac Stephen Gerow",Liberal,75,Liberal,Lib,t,4805,f,2
12,1911-09-21,AB,1,CALGARY,4592,"MASTERS, Arthur",Unknown,166,Unknown,Unknown,f,716,f,3
12,1911-09-21,AB,2,EDMONTON,4593,"OLIVER, Hon. Frank",Liberal,75,Liberal,Lib,t,7070,f,1
12,1911-09-21,AB,2,EDMONTON,4594,"GRIESBACH, William Antrobus",Conservative,37,Conservative,Con,t,4832,f,2
12,1911-09-21,AB,2,EDMONTON,4595,"FARMILO, Alfred",Independent,52,Independent,Ind,f,555,f,3
12,1911-09-21,AB,3,MACLEOD,4596,"WARNOCK, David",Liberal,75,Liberal,Lib,t,3660,f,1
12,1911-09-21,AB,3,MACLEOD,4597,"HERRON, John",Liberal-Conservative,124,Progressive Conservative Party,PC,t,2841,f,2
12,1911-09-21,AB,3,MACLEOD,4598,"FULCHER, Edmund",Independent,52,Independent,Ind,f,902,f,3
12,1911-09-21,AB,4,MEDICINE HAT,4599,"BUCHANAN, William Ashbury",Liberal,75,Liberal,Lib,t,6330,f,1
12,1911-09-21,AB,4,MEDICINE HAT,4600,"MAGRATH, Charles",Conservative,37,Conservative,Con,t,4875,f,2
12,1911-09-21,AB,5,RED DEER,4601,"CLARK, Michael",Liberal,75,Liberal,Lib,t,6711,f,1
12,1911-09-21,AB,5,RED DEER,4602,"MCGILLIVRAY, Alexander Andrew",Conservative,37,Conservative,Con,t,3882,f,2
12,1911-09-21,AB,6,STRATHCONA,4603,"DOUGLAS, James McCrie",Liberal,75,Liberal,Lib,t,5396,f,1
12,1911-09-21,AB,6,STRATHCONA,4604,"CAMPBELL, George Benjamin",Conservative,37,Conservative,Con,t,2872,f,2
12,1911-09-21,AB,7,VICTORIA,4605,"WHITE, William Henry",Liberal,75,Liberal,Lib,t,3225,f,1
12,1911-09-21,AB,7,VICTORIA,4606,"MORRISON, Frederick Augustus",Conservative,37,Conservative,Con,t,2702,f,2
