election_id,election_date,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_id,party_name,party_short_name,mainstream,votes,acclaimed,place
1,1867-08-07,NB,1,ALBERT,1,"WALLACE, John",Liberal,75,Liberal,Lib,t,778,f,1
1,1867-08-07,NB,1,ALBERT,2,"STEVENS, Henry J.",Unknown,166,Unknown,Unknown,f,714,f,2
1,1867-08-07,NB,2,CARLETON,3,"CONNELL, Hon. Charles",Liberal,75,Liberal,Lib,t,,t,1
1,1867-08-07,NB,3,CHARLOTTE,4,"BOLTON, John",Liberal,75,Liberal,Lib,t,1214,f,1
1,1867-08-07,NB,3,CHARLOTTE,5,"THOMPSON, Robert",Unknown,166,Unknown,Unknown,f,918,f,2
1,1867-08-07,NB,4,CITY AND COUNTY OF ST. JOHN,6,"GRAY, Hon. John H.",Conservative,37,Conservative,Con,t,,t,1
1,1867-08-07,NB,5,CITY OF ST. JOHN,7,"TILLEY, Hon. Samuel Leonard",Liberal-Conservative,124,Progressive Conservative Party,PC,t,1402,f,1
1,1867-08-07,NB,5,CITY OF ST. JOHN,8,"WILSON, John",Unknown,166,Unknown,Unknown,f,610,f,2
1,1867-08-07,NB,6,GLOUCESTER,9,"ANGLIN, Hon. Timothy Warren",Liberal,75,Liberal,Lib,t,1061,f,1
1,1867-08-07,NB,6,GLOUCESTER,10,"MEHAN, John",Unknown,166,Unknown,Unknown,f,671,f,2
1,1867-08-07,NB,7,KENT,11,"RENAUD, Auguste",Liberal,75,Liberal,Lib,t,876,f,1
1,1867-08-07,NB,7,KENT,12,"DES BRISAY,",Unknown,166,Unknown,Unknown,f,757,f,2
1,1867-08-07,NB,7,KENT,13,"MCINERNAY,",Unknown,166,Unknown,Unknown,f,485,f,3
1,1867-08-07,NB,7,KENT,14,"CUTLER,",Unknown,166,Unknown,Unknown,f,4,f,4
1,1867-08-07,NB,8,KING'S,15,"RYAN, George",Liberal,75,Liberal,Lib,t,1303,f,1
1,1867-08-07,NB,8,KING'S,16,"OTTY,",Unknown,166,Unknown,Unknown,f,1083,f,2
1,1867-08-07,NB,9,NORTHUMBERLAND,17,"JOHNSON, Hon. John M.",Liberal,75,Liberal,Lib,t,1226,f,1
1,1867-08-07,NB,9,NORTHUMBERLAND,18,"GILLESPIE, Thos.F.",Unknown,166,Unknown,Unknown,f,757,f,2
1,1867-08-07,NB,10,QUEEN'S,19,"FARRIS, John",Liberal,75,Liberal,Lib,t,,t,1
1,1867-08-07,NB,11,RESTIGOUCHE,20,"MCMILLAN, Hon. John",Liberal,75,Liberal,Lib,t,370,f,1
1,1867-08-07,NB,11,RESTIGOUCHE,21,"PHILLIPS, John",Unknown,166,Unknown,Unknown,f,259,f,2
1,1867-08-07,NB,12,SUNBURY,22,"BURPEE, Charles",Liberal,75,Liberal,Lib,t,664,f,1
1,1867-08-07,NB,12,SUNBURY,23,"PERLEY, Wm. C.",Unknown,166,Unknown,Unknown,f,425,f,2
1,1867-08-07,NB,13,VICTORIA,24,"COSTIGAN, John",Liberal-Conservative,124,Progressive Conservative Party,PC,t,778,f,1
1,1867-08-07,NB,13,VICTORIA,25,"BEVERIDGE, Wm. B.",Unknown,166,Unknown,Unknown,f,549,f,2
1,1867-08-07,NB,13,VICTORIA,26,"WORKMAN, James",Unknown,166,Unknown,Unknown,f,16,f,3
1,1867-08-07,NB,13,VICTORIA,27,"TIBBETTS, James",Unknown,166,Unknown,Unknown,f,0,f,4
1,1867-08-07,NB,14,WESTMORLAND,28,"SMITH, Hon. Albert James",Liberal,75,Liberal,Lib,t,2207,f,1
1,1867-08-07,NB,14,WESTMORLAND,29,"LANDRY, J.J.D.",Unknown,166,Unknown,Unknown,f,454,f,2
1,1867-08-07,NB,15,YORK,30,"FISHER, Hon. Charles",Liberal,75,Liberal,Lib,t,,t,1
1,1867-08-07,NS,16,ANNAPOLIS,31,"RAY, William H.",Anti-Confederate,9,Anti-Confederate,AntiConfed,t,1171,f,1
1,1867-08-07,NS,16,ANNAPOLIS,32,"LONGLEY,",Conservative,37,Conservative,Con,t,1016,f,2
1,1867-08-07,NS,17,ANTIGONISH,33,"MCDONALD, Hugh",Anti-Confederate,9,Anti-Confederate,AntiConfed,t,1238,f,1
1,1867-08-07,NS,17,ANTIGONISH,34,"HENRY, Wm. A.",Conservative,37,Conservative,Con,t,390,f,2
1,1867-08-07,NS,18,CAPE BRETON,35,"MCKEAGNEY, Hon. James",Anti-Confederate,9,Anti-Confederate,AntiConfed,t,,t,1
1,1867-08-07,NS,19,COLCHESTER,36,"MCLELLAN, Archibald Woodbury",Anti-Confederate,9,Anti-Confederate,AntiConfed,t,1649,f,1
1,1867-08-07,NS,19,COLCHESTER,37,"ARCHIBALD, Hon. A.G.",Liberal-Conservative,124,Progressive Conservative Party,PC,t,1289,f,2
1,1867-08-07,NS,20,CUMBERLAND,38,"TUPPER, Hon. Charles",Conservative,37,Conservative,Con,t,1368,f,1
1,1867-08-07,NS,20,CUMBERLAND,39,"ANNAND, William",Anti-Confederate,9,Anti-Confederate,AntiConfed,t,1271,f,2
1,1867-08-07,NS,21,DIGBY,40,"SAVARY, Alfred W.",Anti-Confederate,9,Anti-Confederate,AntiConfed,t,792,f,1
1,1867-08-07,NS,21,DIGBY,41,"WADE,",Unknown,166,Unknown,Unknown,f,497,f,2
1,1867-08-07,NS,21,DIGBY,42,"MEHAN,",Unknown,166,Unknown,Unknown,f,362,f,3
1,1867-08-07,NS,22,GUYSBOROUGH,43,"CAMPBELL, Stewart",Anti-Confederate,9,Anti-Confederate,AntiConfed,t,,t,1
1,1867-08-07,NS,23,HALIFAX-1,44,"POWERS, Patrick",Anti-Confederate,9,Anti-Confederate,AntiConfed,t,2367,f,1
1,1867-08-07,NS,23,HALIFAX-1,45,"SHANNON, S.L.",Unknown,166,Unknown,Unknown,f,2154,f,2
1,1867-08-07,NS,24,HALIFAX-2,46,"JONES, Alfred",Anti-Confederate,9,Anti-Confederate,AntiConfed,t,2381,f,1
1,1867-08-07,NS,24,HALIFAX-2,47,"TOBIN, John",Unknown,166,Unknown,Unknown,f,2158,f,2
